block_number,log_count,skipped_by_bloom,ERC20_Transfer_bloom,ERC20_Transfer_actual,ERC20_Approval_bloom,ERC20_Approval_actual,UniV2_Swap_bloom,UniV2_Swap_actual,UniV3_Swap_bloom,UniV3_Swap_actual,UniV2_Sync_bloom,UniV2_Sync_actual,WETH_Deposit_bloom,WETH_Deposit_actual,WETH_Withdrawal_bloom,WETH_Withdrawal_actual,Synthetic_Absent_bloom,Synthetic_Absent_actual
25036170,742,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036171,1036,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036172,310,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036173,902,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036174,1131,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036175,731,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036176,847,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036177,832,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036178,1301,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036179,712,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036180,988,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036181,760,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036182,836,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036183,975,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036184,1049,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036185,1171,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036186,667,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036187,884,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036188,1289,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036189,899,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036190,868,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036191,403,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036192,723,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036193,695,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036194,574,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036195,911,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036196,786,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036197,955,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036198,826,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036199,812,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036200,483,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036201,576,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036202,476,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036203,864,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036204,531,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036205,240,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036206,991,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036207,413,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036208,724,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036209,1008,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036210,713,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036211,624,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036212,537,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036213,1041,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036214,750,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036215,639,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036216,778,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036217,541,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036218,760,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036219,352,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036220,788,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036221,1028,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036222,919,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036223,873,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036224,850,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
25036225,709,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
25036226,548,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false
