method,block_number,rpc_calls,bytes_in,bytes_out,latency_ms,log_count,tx_count,error
eth_getLogs (per block),25043888,1,614488,106,410.052,814,0,
eth_getLogs (per block),25043889,1,329868,106,281.284,467,0,
eth_getLogs (per block),25043890,1,669131,106,408.844,800,0,
eth_getLogs (per block),25043891,1,598338,106,410.582,842,0,
eth_getLogs (per block),25043892,1,550836,106,170.142,781,0,
eth_getLogs (per block),25043893,1,86827,106,78.840,130,0,
eth_getLogs (per block),25043894,1,728375,106,96.385,1020,0,
eth_getLogs (per block),25043895,1,305635,106,133.695,438,0,
eth_getLogs (per block),25043896,1,521094,107,145.400,739,0,
eth_getLogs (per block),25043897,1,433880,107,107.186,585,0,
eth_getLogs (per block),25043898,1,568217,107,630.993,789,0,
eth_getLogs (per block),25043899,1,437461,107,511.654,562,0,
eth_getLogs (per block),25043900,1,294024,107,274.839,396,0,
eth_getLogs (per block),25043901,1,721834,107,128.874,996,0,
eth_getLogs (per block),25043902,1,333112,107,81.088,478,0,
eth_getLogs (per block),25043903,1,391379,107,99.269,549,0,
eth_getLogs (per block),25043904,1,495302,107,134.328,699,0,
eth_getLogs (per block),25043905,1,393481,107,105.724,542,0,
eth_getLogs (per block),25043906,1,487651,107,99.362,688,0,
eth_getLogs (per block),25043907,1,365371,107,98.867,511,0,
eth_getLogs (per block),25043908,1,488885,107,111.124,686,0,
eth_getLogs (per block),25043909,1,595602,107,121.283,863,0,
eth_getLogs (per block),25043910,1,492969,107,103.416,683,0,
eth_getLogs (per block),25043911,1,659547,107,126.990,936,0,
eth_getLogs (per block),25043912,1,139342,107,115.005,204,0,
eth_getLogs (per block),25043913,1,782098,107,208.005,1067,0,
eth_getLogs (per block),25043914,1,95495,107,54.014,144,0,
eth_getLogs (per block),25043915,1,699747,107,170.597,997,0,
eth_getLogs (per block),25043916,1,381361,107,133.526,541,0,
eth_getLogs (per block),25043917,1,508629,107,103.410,732,0,
eth_getLogs (per block),25043918,1,596553,107,142.155,862,0,
eth_getLogs (per block),25043919,1,715199,107,143.995,999,0,
eth_getLogs (per block),25043920,1,470008,107,112.761,692,0,
eth_getLogs (per block),25043921,1,526077,107,120.167,748,0,
eth_getLogs (per block),25043922,1,773010,107,148.454,961,0,
eth_getLogs (per block),25043923,1,586006,107,140.804,838,0,
eth_getLogs (per block),25043924,1,681134,107,143.656,1004,0,
eth_getLogs (per block),25043925,1,629156,107,152.309,900,0,
eth_getLogs (per block),25043926,1,508876,107,134.327,689,0,
eth_getLogs (per block),25043927,1,422679,107,105.838,598,0,
eth_getLogs (per block),25043928,1,871785,107,148.086,1260,0,
eth_getLogs (per block),25043929,1,787916,107,173.951,1138,0,
eth_getLogs (per block),25043930,1,613832,107,120.858,857,0,
eth_getLogs (per block),25043931,1,491091,107,106.025,701,0,
eth_getLogs (per block),25043932,1,667210,107,163.147,970,0,
eth_getLogs (per block),25043933,1,798819,107,165.624,777,0,
eth_getLogs (per block),25043934,1,665264,107,143.268,927,0,
eth_getLogs (per block),25043935,1,619738,107,104.212,854,0,
eth_getLogs (per block),25043936,1,623284,107,111.413,861,0,
eth_getLogs (per block),25043937,1,659020,107,148.602,895,0,
eth_getLogs (ranged),25043888,1,4838156,107,684.217,6616,0,
eth_getLogs (ranged),25043898,1,4487508,107,611.845,6210,0,
eth_getLogs (ranged),25043908,1,4843351,107,626.954,6853,0,
eth_getLogs (ranged),25043918,1,5908374,107,728.790,8291,0,
eth_getLogs (ranged),25043928,1,6797635,107,821.604,9240,0,
eth_getBlockReceipts,25043888,1,888861,80,159.443,814,275,
eth_getBlockReceipts,25043889,1,559101,80,263.709,467,230,
eth_getBlockReceipts,25043890,1,975438,80,300.954,800,307,
eth_getBlockReceipts,25043891,1,893650,80,302.013,842,296,
eth_getBlockReceipts,25043892,1,868197,80,308.076,781,318,
eth_getBlockReceipts,25043893,1,186514,80,183.022,130,100,
eth_getBlockReceipts,25043894,1,1147427,80,321.738,1020,420,
eth_getBlockReceipts,25043895,1,549951,80,256.605,438,245,
eth_getBlockReceipts,25043896,1,841172,80,300.666,739,321,
eth_getBlockReceipts,25043897,1,644262,80,263.147,585,211,
eth_getBlockReceipts,25043898,1,946449,80,340.365,789,379,
eth_getBlockReceipts,25043899,1,704845,80,301.043,562,268,
eth_getBlockReceipts,25043900,1,398707,80,218.582,396,105,
eth_getBlockReceipts,25043901,1,1168757,80,376.419,996,448,
eth_getBlockReceipts,25043902,1,569436,80,264.866,478,237,
eth_getBlockReceipts,25043903,1,653615,80,273.205,549,263,
eth_getBlockReceipts,25043904,1,918471,80,342.574,699,424,
eth_getBlockReceipts,25043905,1,628789,80,285.093,542,236,
eth_getBlockReceipts,25043906,1,759007,80,353.555,688,272,
eth_getBlockReceipts,25043907,1,589768,80,273.728,511,225,
eth_getBlockReceipts,25043908,1,739144,80,273.511,686,251,
eth_getBlockReceipts,25043909,1,923832,80,318.881,863,329,
eth_getBlockReceipts,25043910,1,747330,80,299.936,683,255,
eth_getBlockReceipts,25043911,1,922942,80,312.275,936,264,
eth_getBlockReceipts,25043912,1,275986,80,212.938,204,137,
eth_getBlockReceipts,25043913,1,1158362,80,355.279,1067,377,
eth_getBlockReceipts,25043914,1,202097,80,173.614,144,107,
eth_getBlockReceipts,25043915,1,1040035,80,316.956,997,341,
eth_getBlockReceipts,25043916,1,518972,80,333.184,541,138,
eth_getBlockReceipts,25043917,1,1074193,80,313.365,732,567,
eth_getBlockReceipts,25043918,1,886897,80,307.865,862,291,
eth_getBlockReceipts,25043919,1,1182314,80,360.204,999,468,
eth_getBlockReceipts,25043920,1,830157,80,309.936,692,361,
eth_getBlockReceipts,25043921,1,850299,80,298.394,748,325,
eth_getBlockReceipts,25043922,1,1185126,80,386.392,961,413,
eth_getBlockReceipts,25043923,1,798412,80,277.427,838,213,
eth_getBlockReceipts,25043924,1,1157167,80,339.264,1004,477,
eth_getBlockReceipts,25043925,1,967206,80,317.378,900,339,
eth_getBlockReceipts,25043926,1,772166,80,296.749,689,264,
eth_getBlockReceipts,25043927,1,694919,80,279.552,598,273,
eth_getBlockReceipts,25043928,1,1240027,80,344.618,1260,369,
eth_getBlockReceipts,25043929,1,1065286,80,325.250,1138,278,
eth_getBlockReceipts,25043930,1,877135,80,360.218,857,264,
eth_getBlockReceipts,25043931,1,776500,81,290.429,701,286,
eth_getBlockReceipts,25043932,1,973496,81,361.845,970,307,
eth_getBlockReceipts,25043933,1,1046132,81,396.022,777,248,
eth_getBlockReceipts,25043934,1,952756,81,322.791,927,288,
eth_getBlockReceipts,25043935,1,877013,81,330.889,854,258,
eth_getBlockReceipts,25043936,1,928571,81,308.549,861,306,
eth_getBlockReceipts,25043937,1,1033240,81,309.125,895,375,
eth_getTransactionReceipt (per tx),25043888,276,921264,39465,16282.276,814,275,
