method,block_number,rpc_calls,bytes_in,bytes_out,latency_ms,log_count,tx_count,error
eth_getLogs (per block),25042660,1,369112,106,638.229,511,0,
eth_getLogs (per block),25042661,1,619189,106,888.090,894,0,
eth_getLogs (per block),25042662,1,267455,106,140.363,386,0,
eth_getLogs (per block),25042663,1,762805,106,518.794,1091,0,
eth_getLogs (per block),25042664,1,80844,106,141.446,121,0,
eth_getLogs (ranged),25042660,1,2099265,106,527.693,3003,0,
eth_getBlockReceipts,25042660,1,448890,79,145.282,511,80,
eth_getBlockReceipts,25042661,1,1207013,79,397.679,894,589,
eth_getBlockReceipts,25042662,1,486780,80,145.847,386,220,
eth_getBlockReceipts,25042663,1,1035099,80,279.230,1091,273,
eth_getBlockReceipts,25042664,1,170652,80,149.732,121,90,
eth_getTransactionReceipt (per tx),25042660,81,460928,11488,10484.564,511,80,
eth_getTransactionReceipt (per tx),25042661,590,1272061,84358,77620.519,894,589,
eth_getTransactionReceipt (per tx),25042662,221,513417,31547,28539.538,386,220,
eth_getTransactionReceipt (per tx),25042663,274,1067322,39213,36436.823,1091,273,
eth_getTransactionReceipt (per tx),25042664,91,183853,13048,11868.394,121,90,
